year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
2002,PE,Prince Edward Island,11.9,64.7,67.6,15.6,11.2
2002,QC,Quebec,8.7,3564.3,65.2,13.6,7.6
2002,SK,Saskatchewan,5.7,467.7,66.9,10.9,4.7
2003,AB,Alberta,5.1,1729.0,73.5,9.3,4.2
2003,BC,British Columbia,8.0,1998.1,65.5,14.5,6.8
2003,CA,Canada,7.6,15660.8,67.6,13.6,6.4
2003,MB,Manitoba,4.9,566.5,68.6,9.5,4.1
2003,NB,New Brunswick,10.2,341.7,63.1,16.2,9.0
2003,NL,Newfoundland and Labrador,16.5,210.7,59.1,23.8,14.9
2003,NS,Nova Scotia,9.1,431.3,63.0,15.7,7.7
2003,ON,Ontario,6.9,6212.9,68.5,14.4,5.7
2003,PE,Prince Edward Island,10.9,66.1,67.8,14.1,10.0
2003,QC,Quebec,9.1,3628.8,66.1,14.1,8.1
2003,SK,Saskatchewan,5.6,475.9,67.8,10.9,4.7
2004,AB,Alberta,4.7,1774.8,73.5,8.5,4.0
2004,BC,British Columbia,7.2,2028.3,65.3,13.6,6.0
2004,CA,Canada,7.2,15915.0,67.5,13.4,6.0
2004,MB,Manitoba,5.3,572.6,68.9,11.0,4.3
2004,NB,New Brunswick,9.8,348.1,63.8,15.3,8.8
2004,NL,Newfoundland and Labrador,15.6,213.2,59.1,22.7,14.6
2004,NS,Nova Scotia,8.8,441.7,63.9,15.1,7.6
2004,ON,Ontario,6.8,6314.3,68.4,14.1,5.4
2004,PE,Prince Edward Island,11.2,66.6,67.9,16.9,10.0
2004,QC,Quebec,8.5,3675.8,65.9,14.6,7.4
2004,SK,Saskatchewan,5.3,479.8,67.8,10.5,4.3
2005,AB,Alberta,4.0,1820.4,72.7,7.3,3.3
2005,BC,British Columbia,5.9,2089.7,65.4,10.1,5.1
2005,CA,Canada,6.8,16123.5,67.1,12.4,5.8
2005,MB,Manitoba,4.7,576.5,68.4,9.7,3.8
2005,NB,New Brunswick,9.7,346.5,63.2,14.8,8.6
2005,NL,Newfoundland and Labrador,15.2,212.3,58.7,21.6,14.0
2005,NS,Nova Scotia,8.4,442.1,63.4,15.0,7.1
2005,ON,Ontario,6.6,6381.0,68.0,13.9,5.4
2005,PE,Prince Edward Island,10.9,67.7,68.1,16.7,9.3
2005,QC,Quebec,8.2,3705.5,65.6,13.4,7.4
2005,SK,Saskatchewan,5.1,481.8,67.9,10.1,4.0
2006,AB,Alberta,3.6,1916.6,73.6,6.9,2.9
2006,BC,British Columbia,4.9,2153.4,65.8,8.5,4.2
2006,CA,Canada,6.5,16413.7,67.2,11.6,5.5
2006,MB,Manitoba,4.5,583.4,68.5,9.3,3.4
2006,NB,New Brunswick,9.2,349.7,63.5,14.3,8.1
2006,NL,Newfoundland and Labrador,15.0,214.4,59.3,22.1,13.7
2006,NS,Nova Scotia,8.2,440.2,62.8,13.7,7.1
2006,ON,Ontario,6.4,6460.5,67.7,12.9,5.2
2006,PE,Prince Edward Island,11.5,68.0,68.6,14.8,10.6
2006,QC,Quebec,8.3,3736.0,65.4,13.6,7.3
2006,SK,Saskatchewan,4.7,491.6,68.8,8.9,3.8
